asset_name	original_path	asset_bytes	asset_sha256	original_sha256	mode
Jev-Style-v2-BF16-Calibrated.gguf.part-aa	Jev-Style-v2-BF16-Calibrated.gguf	1992294400	d3ac76f1e89d1af3222043ddd9943e944ba762bc47b4a7678a9925156cc2a4ba	8baa111eec6e30a5c9e97d559b53127a19ef30171e8aed26673153b4f77adcbb	split
Jev-Style-v2-BF16-Calibrated.gguf.part-ab	Jev-Style-v2-BF16-Calibrated.gguf	1783406496	275c03a6e5488b8363909ff78e10f750bf64d069ce1892610ec524d2df75ba24	8baa111eec6e30a5c9e97d559b53127a19ef30171e8aed26673153b4f77adcbb	split
Jev-Style-v2-Q4_K_M-Calibrated.gguf	Jev-Style-v2-Q4_K_M-Calibrated.gguf	1274388384	c697d3b29d07fdd37b6ebeb5c98066f4c31632162adca6258db23f75184eb0c4	c697d3b29d07fdd37b6ebeb5c98066f4c31632162adca6258db23f75184eb0c4	whole
Jev-Style-v2-Q8_0-Calibrated.gguf	Jev-Style-v2-Q8_0-Calibrated.gguf	2012004256	5c2aa0d35b24a27f03228b2c62ebaaebd9b5b785844634d4217278d822751494	5c2aa0d35b24a27f03228b2c62ebaaebd9b5b785844634d4217278d822751494	whole
